path,baseline_comparison,bytes,license_note
.github/ISSUE_TEMPLATE/bug_report.yml,local_addition,1151,MIT; see LICENSE and bundled third-party notices
.github/ISSUE_TEMPLATE/feature_request.yml,local_addition,360,MIT; see LICENSE and bundled third-party notices
.github/pull_request_template.md,local_addition,462,MIT; see LICENSE and bundled third-party notices
.gitignore,upstream_modified,523,MIT; see LICENSE and bundled third-party notices
CHANGELOG.md,local_addition,1549,MIT; see LICENSE and bundled third-party notices
CONTRIBUTING.md,local_addition,3027,MIT; see LICENSE and bundled third-party notices
Copool.entitlements,upstream_modified,485,MIT; see LICENSE and bundled third-party notices
Copool.release.entitlements,upstream_modified,642,MIT; see LICENSE and bundled third-party notices
Copool.xcodeproj/project.pbxproj,upstream_modified,107090,MIT; see LICENSE and bundled third-party notices
Copool.xcodeproj/project.xcworkspace/contents.xcworkspacedata,upstream_identical,135,MIT; see LICENSE and bundled third-party notices
Copool.xcodeproj/xcshareddata/xcschemes/Copool.xcscheme,upstream_identical,4226,MIT; see LICENSE and bundled third-party notices
CopoolWidgetsMac.entitlements,upstream_modified,354,MIT; see LICENSE and bundled third-party notices
LICENSE,local_addition,1169,MIT; see LICENSE and bundled third-party notices
Package.swift,upstream_modified,1365,MIT; see LICENSE and bundled third-party notices
README.md,upstream_modified,8362,MIT; see LICENSE and bundled third-party notices
SECURITY.md,local_addition,1451,MIT; see LICENSE and bundled third-party notices
Sources/Copool/App/AppContainer.swift,upstream_modified,10315,MIT; see LICENSE and bundled third-party notices
Sources/Copool/App/AppVersion.swift,upstream_modified,1068,MIT; see LICENSE and bundled third-party notices
Sources/Copool/App/RootScene.swift,upstream_modified,10102,MIT; see LICENSE and bundled third-party notices
Sources/Copool/App/TrayMenuModel+Refresh.swift,upstream_modified,11030,MIT; see LICENSE and bundled third-party notices
Sources/Copool/App/TrayMenuModel.swift,upstream_modified,6920,MIT; see LICENSE and bundled third-party notices
Sources/Copool/Behavior/AccountDisplayNameFormatter.swift,upstream_identical,627,MIT; see LICENSE and bundled third-party notices
Sources/Copool/Behavior/AccountIdentity.swift,upstream_modified,5913,MIT; see LICENSE and bundled third-party notices
Sources/Copool/Behavior/AccountRanking.swift,upstream_modified,7888,MIT; see LICENSE and bundled third-party notices
Sources/Copool/Behavior/AccountsCoordinator+Maintenance.swift,upstream_modified,76518,MIT; see LICENSE and bundled third-party notices
Sources/Copool/Behavior/AccountsCoordinator.swift,upstream_modified,43965,MIT; see LICENSE and bundled third-party notices
Sources/Copool/Behavior/AccountsSnapshotFreshnessPolicy.swift,upstream_modified,2904,MIT; see LICENSE and bundled third-party notices
Sources/Copool/Behavior/AntigravityAccountsCoordinator.swift,local_addition,1982,MIT; see LICENSE and bundled third-party notices
Sources/Copool/Behavior/CurrentAccountProjectionWriter.swift,upstream_identical,1719,MIT; see LICENSE and bundled third-party notices
Sources/Copool/Behavior/CursorNativeAccountSwitcher.swift,local_addition,4887,MIT; see LICENSE and bundled third-party notices
Sources/Copool/Behavior/SettingsCoordinator.swift,upstream_modified,2201,MIT; see LICENSE and bundled third-party notices
Sources/Copool/Behavior/UsageWindowSelector.swift,upstream_modified,750,MIT; see LICENSE and bundled third-party notices
Sources/Copool/CopoolApp.swift,upstream_modified,9493,MIT; see LICENSE and bundled third-party notices
Sources/Copool/Domain/AccountsModels.swift,upstream_modified,23898,MIT; see LICENSE and bundled third-party notices
Sources/Copool/Domain/AntigravityAccountsModels.swift,local_addition,5546,MIT; see LICENSE and bundled third-party notices
Sources/Copool/Domain/AppError.swift,upstream_identical,1593,MIT; see LICENSE and bundled third-party notices
Sources/Copool/Domain/AppLocale.swift,upstream_identical,2625,MIT; see LICENSE and bundled third-party notices
Sources/Copool/Domain/AppModels.swift,upstream_modified,931,MIT; see LICENSE and bundled third-party notices
Sources/Copool/Domain/JSONValue.swift,upstream_identical,3801,MIT; see LICENSE and bundled third-party notices
Sources/Copool/Domain/L10n.swift,upstream_modified,1915,MIT; see LICENSE and bundled third-party notices
Sources/Copool/Domain/Notice.swift,upstream_identical,895,MIT; see LICENSE and bundled third-party notices
Sources/Copool/Domain/PlatformCapabilities.swift,upstream_modified,442,MIT; see LICENSE and bundled third-party notices
Sources/Copool/Domain/Protocols.swift,upstream_modified,5257,MIT; see LICENSE and bundled third-party notices
Sources/Copool/Domain/QuotaManagementModels.swift,local_addition,25347,MIT; see LICENSE and bundled third-party notices
Sources/Copool/Domain/SettingsModels.swift,upstream_modified,10489,MIT; see LICENSE and bundled third-party notices
Sources/Copool/Domain/ViewState.swift,upstream_identical,208,MIT; see LICENSE and bundled third-party notices
Sources/Copool/Features/Accounts/AccountCardInteractionPresentation.swift,upstream_identical,855,MIT; see LICENSE and bundled third-party notices
Sources/Copool/Features/Accounts/AccountCardPresentation.swift,upstream_modified,28087,MIT; see LICENSE and bundled third-party notices
Sources/Copool/Features/Accounts/AccountCardPrimitives.swift,upstream_modified,18583,MIT; see LICENSE and bundled third-party notices
Sources/Copool/Features/Accounts/AccountCardView.swift,upstream_modified,8988,MIT; see LICENSE and bundled third-party notices
Sources/Copool/Features/Accounts/AccountsActionPresentation.swift,upstream_modified,9563,MIT; see LICENSE and bundled third-party notices
Sources/Copool/Features/Accounts/AccountsActionPrimitives.swift,upstream_modified,4501,MIT; see LICENSE and bundled third-party notices
Sources/Copool/Features/Accounts/AccountsAnimationRules.swift,upstream_modified,622,MIT; see LICENSE and bundled third-party notices
Sources/Copool/Features/Accounts/AccountsPageControls.swift,upstream_modified,2122,MIT; see LICENSE and bundled third-party notices
Sources/Copool/Features/Accounts/AccountsPageModel+AccountMutations.swift,upstream_modified,8515,MIT; see LICENSE and bundled third-party notices
Sources/Copool/Features/Accounts/AccountsPageModel+Antigravity.swift,local_addition,246,MIT; see LICENSE and bundled third-party notices
Sources/Copool/Features/Accounts/AccountsPageModel+Lifecycle.swift,upstream_modified,3123,MIT; see LICENSE and bundled third-party notices
Sources/Copool/Features/Accounts/AccountsPageModel+PendingWorkspaces.swift,upstream_modified,9993,MIT; see LICENSE and bundled third-party notices
Sources/Copool/Features/Accounts/AccountsPageModel+Refresh.swift,upstream_identical,2389,MIT; see LICENSE and bundled third-party notices
Sources/Copool/Features/Accounts/AccountsPageModel+Selection.swift,upstream_modified,5860,MIT; see LICENSE and bundled third-party notices
Sources/Copool/Features/Accounts/AccountsPageModel+State.swift,upstream_identical,3348,MIT; see LICENSE and bundled third-party notices
Sources/Copool/Features/Accounts/AccountsPageModel.swift,upstream_modified,7346,MIT; see LICENSE and bundled third-party notices
Sources/Copool/Features/Accounts/AccountsPagePresentation.swift,upstream_modified,11596,MIT; see LICENSE and bundled third-party notices
Sources/Copool/Features/Accounts/AccountsPageSections.swift,upstream_modified,16238,MIT; see LICENSE and bundled third-party notices
Sources/Copool/Features/Accounts/AccountsPageShells.swift,upstream_modified,13100,MIT; see LICENSE and bundled third-party notices
Sources/Copool/Features/Accounts/AccountsPageView.swift,upstream_modified,4766,MIT; see LICENSE and bundled third-party notices
Sources/Copool/Features/Accounts/AntigravityAccountsSection.swift,local_addition,238,MIT; see LICENSE and bundled third-party notices
Sources/Copool/Features/Accounts/CursorAccountsView.swift,local_addition,6340,MIT; see LICENSE and bundled third-party notices
Sources/Copool/Features/QuotaManagement/QuotaIntradayChart.swift,local_addition,7832,MIT; see LICENSE and bundled third-party notices
Sources/Copool/Features/QuotaManagement/QuotaManagementPageModel.swift,local_addition,10929,MIT; see LICENSE and bundled third-party notices
Sources/Copool/Features/QuotaManagement/QuotaManagementPageView.swift,local_addition,29145,MIT; see LICENSE and bundled third-party notices
Sources/Copool/Features/Settings/AboutView.swift,local_addition,1057,MIT; see LICENSE and bundled third-party notices
Sources/Copool/Features/Settings/SettingsControlPresentation.swift,upstream_modified,6167,MIT; see LICENSE and bundled third-party notices
Sources/Copool/Features/Settings/SettingsControlPrimitives.swift,upstream_modified,5138,MIT; see LICENSE and bundled third-party notices
Sources/Copool/Features/Settings/SettingsPageModel+Lifecycle.swift,upstream_modified,585,MIT; see LICENSE and bundled third-party notices
Sources/Copool/Features/Settings/SettingsPageModel+Mutations.swift,upstream_modified,5708,MIT; see LICENSE and bundled third-party notices
Sources/Copool/Features/Settings/SettingsPageModel+Presentation.swift,upstream_modified,710,MIT; see LICENSE and bundled third-party notices
Sources/Copool/Features/Settings/SettingsPageModel.swift,upstream_modified,6296,MIT; see LICENSE and bundled third-party notices
Sources/Copool/Features/Settings/SettingsPageSections.swift,upstream_modified,11467,MIT; see LICENSE and bundled third-party notices
Sources/Copool/Features/Settings/SettingsPageView.swift,upstream_modified,199,MIT; see LICENSE and bundled third-party notices
Sources/Copool/Info-macOS.plist,upstream_modified,1418,MIT; see LICENSE and bundled third-party notices
Sources/Copool/Infrastructure/AntiGravityAuthRepository.swift,local_addition,45787,MIT; see LICENSE and bundled third-party notices
Sources/Copool/Infrastructure/AntigravityAccountService.swift,local_addition,206,MIT; see LICENSE and bundled third-party notices
Sources/Copool/Infrastructure/AntigravityQuotaHistoryStore.swift,local_addition,3731,MIT; see LICENSE and bundled third-party notices
Sources/Copool/Infrastructure/AntigravityUsageService.swift,local_addition,71269,MIT; see LICENSE and bundled third-party notices
Sources/Copool/Infrastructure/AppTerminationSafety.swift,local_addition,1075,MIT; see LICENSE and bundled third-party notices
Sources/Copool/Infrastructure/AuthFileRepository.swift,upstream_identical,16652,MIT; see LICENSE and bundled third-party notices
Sources/Copool/Infrastructure/AuthFlowDebugLog.swift,upstream_modified,5687,MIT; see LICENSE and bundled third-party notices
Sources/Copool/Infrastructure/AuthParsingSupport.swift,upstream_identical,3734,MIT; see LICENSE and bundled third-party notices
Sources/Copool/Infrastructure/AuthWorkspaceMetadataExtractor.swift,upstream_identical,10745,MIT; see LICENSE and bundled third-party notices
Sources/Copool/Infrastructure/ChatGPTBaseOriginResolver.swift,upstream_identical,930,MIT; see LICENSE and bundled third-party notices
Sources/Copool/Infrastructure/CodexCLIService.swift,upstream_modified,8006,MIT; see LICENSE and bundled third-party notices
Sources/Copool/Infrastructure/CursorProfileRepository.swift,local_addition,7573,MIT; see LICENSE and bundled third-party notices
Sources/Copool/Infrastructure/CursorUsageService.swift,local_addition,17307,MIT; see LICENSE and bundled third-party notices
Sources/Copool/Infrastructure/DefaultUsageService.swift,upstream_modified,16892,MIT; see LICENSE and bundled third-party notices
Sources/Copool/Infrastructure/DefaultWorkspaceMetadataService.swift,upstream_identical,9383,MIT; see LICENSE and bundled third-party notices
Sources/Copool/Infrastructure/EditorAppService.swift,upstream_modified,9008,MIT; see LICENSE and bundled third-party notices
Sources/Copool/Infrastructure/EndpointRequestCoordinator.swift,upstream_identical,6395,MIT; see LICENSE and bundled third-party notices
Sources/Copool/Infrastructure/FileSystemPaths.swift,upstream_modified,1298,MIT; see LICENSE and bundled third-party notices
Sources/Copool/Infrastructure/LaunchAtStartupService.swift,upstream_identical,1676,MIT; see LICENSE and bundled third-party notices
Sources/Copool/Infrastructure/LocalQuotaManagementUsageService.swift,local_addition,22581,MIT; see LICENSE and bundled third-party notices
Sources/Copool/Infrastructure/OpenAIChatGPTOAuthLoginService.swift,upstream_identical,14745,MIT; see LICENSE and bundled third-party notices
Sources/Copool/Infrastructure/OpenAIChatGPTOAuthSupport.swift,upstream_modified,8583,MIT; see LICENSE and bundled third-party notices
Sources/Copool/Infrastructure/OpenCodexLedgerMeteringReader.swift,local_addition,49660,MIT; see LICENSE and bundled third-party notices
Sources/Copool/Infrastructure/OpenCodexLedgerQuotaLoader.swift,local_addition,5222,MIT; see LICENSE and bundled third-party notices
Sources/Copool/Infrastructure/OpenCodexStandardReferenceEstimate.swift,local_addition,21871,MIT; see LICENSE and bundled third-party notices
Sources/Copool/Infrastructure/OpenCodexVerifiedPricingCatalogLoader.swift,local_addition,14856,MIT; see LICENSE and bundled third-party notices
Sources/Copool/Infrastructure/OpencodeAuthSyncService.swift,upstream_identical,6411,MIT; see LICENSE and bundled third-party notices
Sources/Copool/Infrastructure/ShellCommandRunner.swift,upstream_modified,9187,MIT; see LICENSE and bundled third-party notices
Sources/Copool/Infrastructure/SimpleHTTPServer.swift,upstream_modified,13784,MIT; see LICENSE and bundled third-party notices
Sources/Copool/Infrastructure/StoreFileRepository.swift,upstream_modified,9150,MIT; see LICENSE and bundled third-party notices
Sources/Copool/Infrastructure/SystemDateProvider.swift,upstream_identical,252,MIT; see LICENSE and bundled third-party notices
Sources/Copool/Layout/LayoutRules.swift,upstream_modified,10522,MIT; see LICENSE and bundled third-party notices
